2022-04-10 13:30:34,000 - mealpy.swarm_based.SSA.BaseSSA - INFO - Solving single objective optimization problem.
2022-04-10 13:30:45,330 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 36, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.05008 seconds
2022-04-10 13:30:45,380 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 37, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04954 seconds
2022-04-10 13:30:45,430 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 38, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04944 seconds
2022-04-10 13:30:45,482 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 39, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.05002 seconds
2022-04-10 13:30:45,532 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 40, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04967 seconds
2022-04-10 13:30:45,582 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 41, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04961 seconds
2022-04-10 13:30:45,633 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 42, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04970 seconds
2022-04-10 13:30:45,683 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 43, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04941 seconds
2022-04-10 13:30:45,734 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 44, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.05095 seconds
2022-04-10 13:30:45,785 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 45, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.05014 seconds
2022-04-10 13:30:45,837 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 46, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.05054 seconds
2022-04-10 13:30:45,887 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 47, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04958 seconds
2022-04-10 13:30:45,938 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 48, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.05018 seconds
2022-04-10 13:30:45,988 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 49, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04948 seconds
